baseline_name,num_vectors,num_pair_scores,mean_same_identity_cosine_distance,mean_different_identity_cosine_distance,mean_same_identity_euclidean_distance,mean_different_identity_euclidean_distance,identity_separation,identity_auc,baseline_group,source_layer_rank_score,source_mean_identity_separation,source_mean_identity_auc
raw_resized_image_32x32,45,990,0.25127811829249064,0.2945513131757262,0.6937821070353191,0.7575782585080969,0.043273194883235555,0.6130276308054086,raw_image,,,
random_projection_raw_512,45,990,0.2456808845202128,0.2868375801220142,0.6857842041386498,0.7477536079114077,0.04115669560180141,0.6130511463844798,random,,,
vae_conditioning_latent_extracted,45,990,0.20073668360710145,0.21701202372177725,0.43923454396426675,0.48063611244713816,0.016275340114675796,0.5623280423280423,vae,,,
instruct_layer__vae_image_latent,45,990,0.20073668360710145,0.21701202372177725,0.43923454396426675,0.48063611244713816,0.016275340114675796,0.5623280423280423,selected_instruct_layer,0.5786033863276637,0.01627534399962141,0.5623280423280423
arcface_iresnet100,45,990,0.1324724343087938,0.147942209748364,0.509693071577284,0.5400352415269014,0.015469775439570205,0.6183656672545561,arcface_external_reference,,,
instruct_layer__unet.conv_in,45,990,0.11742607164714071,0.12999053535362085,0.37787165352039864,0.4110688708801434,0.012564463706480136,0.5474897119341564,selected_instruct_layer,0.5598215350042393,0.01242461935715583,0.547607289829512
final_unet_prediction__add headphones__t3,45,990,0.053630530834198,0.057139171557451685,0.2521551914513111,0.2671727200132356,0.0035086407232536865,0.528395061728395,final_unet_prediction,,,
final_unet_prediction__add black sunglasses__t3,45,990,0.05019369059138828,0.05315134500069593,0.2412829437189632,0.2555348854196608,0.0029576544093076543,0.5297589653145208,final_unet_prediction,,,
final_unet_prediction__add headphones__t6,45,990,0.016498091485765247,0.01743374066378074,0.13714041949974165,0.14612472173437555,0.0009356491780154914,0.5380834803057025,final_unet_prediction,,,
final_unet_prediction__add black sunglasses__t6,45,990,0.015457848707834879,0.01639045413839754,0.13331373066951832,0.14223937658622623,0.0009326054305626597,0.5391416813639036,final_unet_prediction,,,
final_unet_prediction__add headphones__t10,45,990,0.01005209551917182,0.010776458341608602,0.11064760078572565,0.11828380192398394,0.0007243628224367811,0.5389065255731922,final_unet_prediction,,,
final_unet_prediction__add black sunglasses__t10,45,990,0.00995385381910536,0.010669603045024569,0.10994580578472879,0.11768313424228125,0.0007157492259192086,0.5405055849500294,final_unet_prediction,,,
final_unet_prediction__add black sunglasses__t14,45,990,0.009873635239071317,0.010568307001123984,0.11011795072505871,0.11780317550741885,0.0006946717620526666,0.5383303938859494,final_unet_prediction,,,
final_unet_prediction__add headphones__t14,45,990,0.009905351532830132,0.010593523424138468,0.11047762800008058,0.11776708731595328,0.0006881718913083357,0.5350264550264551,final_unet_prediction,,,
instruct_layer__unet.up_blocks.0,45,990,0.001236402988433838,0.0013699834939664003,0.04189923997554514,0.04526541717547588,0.00013358050553256232,0.5481599059376837,selected_instruct_layer,0.5578267219977175,0.00020040133327403392,0.5578350970017637
instruct_layer__unet.mid_block,45,990,0.00098317994011773,0.001082496100632602,0.036659444351163174,0.03962895198966618,9.931616051487191e-05,0.5503586125808348,selected_instruct_layer,0.5494855119740134,0.00016764940881224523,0.5495002939447384
instruct_layer__unet.down_blocks.3,45,990,0.0009493788083394368,0.0010340048522545547,0.035660910130374965,0.03825799223804285,8.462604391511793e-05,0.5438095238095239,selected_instruct_layer,0.5441423609474004,0.00011160702459395884,0.5441255144032922
instruct_layer__unet.up_blocks.1.attentions.1.transformer_blocks.0,45,990,0.0008263839615715874,0.0009018197261467182,0.03330084128926198,0.035748521169578586,7.543576457513074e-05,0.546114050558495,selected_instruct_layer,0.550057047159905,0.00011233473738665303,0.550055849500294
instruct_layer__unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,45,990,0.0006392465697394477,0.0006936526172375552,0.02921015369809336,0.03135953297069858,5.440604749810756e-05,0.5476895943562611,selected_instruct_layer,0.5482897546644085,5.116390961187858e-05,0.5482686654908877
instruct_layer__unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,45,990,3.137985865275065e-05,3.503586249376731e-05,0.007165093740655317,0.0076919243631578945,3.656003841016657e-06,0.5487125220458554,selected_instruct_layer,0.5473898397738999,7.302144532481201e-06,0.5473941798941799
